textID,sentiment
102f98e5e2,1
033b399113,0
c125e29be2,1
b91e2b0679,-1
1a46141274,1
45208fede8,0
12b042da32,-1
23dda65ff8,0
636d7728af,-1
a511a1b75c,1
75da2d8781,0
a4d3d57337,0
8654c16daf,-1
0833224565,0
cd62956082,1
d4e6940997,-1
7145ca9905,-1
f72cf15d82,1
81fed730c6,0
af30453dd1,1
866af11955,1
f7c6c2148f,1
3bc468e133,-1
99091c1127,0
2e0e42474c,-1
0ec4c9e94d,0
b9f5e57121,0
d64c730eae,-1
4db1888261,-1
e5791c5868,-1
9b312b1da7,0
4c7a434909,-1
d45948e05a,0
c3888f1048,0
118b735848,1
36a02909c7,1
f69d938ff5,1
7e5850f0e1,1
3974f55e37,0
41f4ab6477,1
e99b79fbda,0
0979fa1d54,-1
acb01fff71,0
307b458f33,-1
d0c4332f16,0
d8d378b3b9,1
d56109169a,1
da27c32d2b,0
fcce64f91f,1
51ec26fba0,0
c9f8de59ea,0
2ec041aed4,0
3d3f5c8bba,1
d474ac0a3f,-1
1f5e92359b,0
c7a3d8df4d,0
5fd65e2cc1,1
530c6cf86d,0
2e012fc093,0
e2e3f1ccee,0
64be0f498e,-1
1fdf0a4c4b,0
b84e588704,-1
1844bc4cd3,1
faec557cad,0
037ae09e4f,-1
db397cd6e7,0
2b9bc0eb10,0
1f8fec3db2,1
4646b4195d,0
85270e23c3,1
c18b6aac86,-1
f327ae0ce5,0
6c794fe331,0
5b8f15579e,0
3533d7a4ef,-1
58299080b4,0
3ab0cd4eb0,1
897a66122f,0
44c71658d4,0
083658a00b,0
e8c5009736,-1
c1877a56eb,0
85a75e9635,-1
e34ad204e9,0
8be8babbd7,0
f0a917f20d,-1
76c51286bb,1
d5fa003735,-1
0a056156fd,0
08e2f9df55,-1
9285ff827b,-1
78c2f0c6ee,1
7af95dae29,1
700fc02300,1
96bcf9b966,-1
99c07ade84,0
606dff40a7,1
24fc63ff85,1
62f2718ee0,-1
2a904872ab,-1
f322e76399,0
e4a0e15df9,1
66ea796503,1
d4e6823d99,-1
85ffda7179,0
950259fc7d,-1
42af29b476,1
adcab3f50d,1
1e2fdcb1df,0
568c818446,1
23e786a830,-1
5355a2ce0c,0
dc9e1e0632,0
2e78aaa2ef,1
31419f0887,0
9b9ae19334,1
5c77860c1b,0
463e0bacaf,0
97646971b1,1
1fc59a5b70,1
8e6d32c6c3,1
bbbbbf4dca,1
001dcb11ef,-1
4676de66e1,0
acdb0ef52e,0
05b989b465,0
5d2b162b8a,-1
cfb2032bad,0
988eafadb1,1
8fbfabc877,1
c1341abeba,0
f9dbc88f85,0
2071227adf,1
93d658a4fd,0
05cc8af0f0,-1
202af23646,1
31c50efde3,1
f59c924f7e,0
9339c9d1bf,-1
6d4111b680,0
31f4d128e7,-1
372d486293,-1
ee5af1019b,1
adc081a62e,1
4d28c2920a,0
d31363093d,-1
74f15ade8b,-1
696592b809,0
9506186e07,0
63a8bd0b85,0
fa41759d50,-1
b7e4b6c760,0
e3784b1d63,0
aa28253756,1
19410ac1ee,-1
316bce283f,0
6ebb33f982,0
286ec6db81,0
39a67199c6,0
7f58b5d239,0
0a112f74e6,0
52ec4f8b45,0
0afc8ab79a,1
bf4a027b16,-1
2c75054582,0
52c20f6fe9,-1
46ddfc24ca,0
7f7183f849,1
6ad354bd4f,0
3549273079,-1
c7c39d2dc9,0
5502960400,1
8c5e186d05,1
3d899c2dbe,1
2391458d2f,1
77e2ffec43,1
aca5a311b6,0
e1aad751a7,1
dbb5139625,1
04a1c22839,1
085f1256b6,0
29aabbc23c,1
98133263e4,1
729eef0fa5,1
794563ad97,0
5ce4376e4b,0
2619e98b00,0
9b0a7b24c6,-1
ca6404fd64,0
7381992d4c,-1
fcfb04c291,-1
e5c5854a07,1
ea9f18f7f4,1
fdea6083e2,0
6a4019cc1a,-1
f91d836841,0
e22df890ea,0
4e424fe5a5,0
c89d368d84,-1
769f9e88d3,0
3f7a85a2f8,1
bc86a9bdb0,-1
e837523cd5,1
98bad6dc76,-1
863c4fb256,1
0a97e0d020,-1
c1279ea153,0
bf960eea3e,-1
3e47080d87,0
360abf2655,0
4fa9c10b20,-1
cc6c22ea07,0
02b66038b1,-1
8902bd5e0c,0
5945f2f0b1,0
cc1ba7bb94,1
8fa2a01d9e,0
4f4395f869,-1
1ade087aed,1
1c6c89edcc,1
89f3fceb84,0
0122bde04a,-1
54e444b01c,0
9d3e47f679,0
d52ef2b1f2,-1
0d5dace2b0,0
75651111ab,0
fe3c7a40ac,0
fae923d7df,0
0bc79737c8,0
045a89f7ce,1
0b979e9d44,0
53370335cb,1
2305fc32cf,0
a4d53f9a2e,-1
f475a922ea,0
71befea0e7,0
cbd531652e,1
79c532a3c4,0
269ba368bc,-1
5f1ae700e3,-1
2a96235eb5,0
f98a5deafa,1
8a17e1b494,1
118951b478,1
c70412c192,1
259db46343,0
fed43a5137,1
0ad24aa2d6,1
c3c1323ba6,0
1362f68461,0
e8f0e8cbe9,-1
4cfaec6ead,0
0462065029,1
a49b8431d1,0
196f2b6fae,-1
8a51318817,0
2a2e4e7ace,0
df7e42c21f,1
6817c013cf,-1
22a8ddeca5,0
285a643823,1
a09547ad3f,0
852f33385d,0
fde2e3aa21,0
bfc68ad740,-1
301f499600,1
adfddc21e9,1
5a9fbd5402,0
3123976f37,-1
4f153d9e3e,-1
fb53d3fcc3,0
ffdbe304cf,0
7204612fa3,1
fba16750be,1
c3132f5b44,0
a94bb434fd,0
440052e308,0
7c95a06f6c,0
5d21e92058,0
3ab908a222,1
d43529c2c6,-1
1227a0d36d,0
5c9251dd87,0
41a492484b,1
558969f549,0
a81f3dbd32,0
bfdc015258,0
5d2bddb1fc,-1
05385def3c,-1
5fa7bd4ffc,-1
f41fdeaa88,0
af906f96af,1
510f68ac47,-1
3311bc3795,1
650488203f,-1
dbf87bd359,-1
9a4ca6f4e1,0
d35d1de986,0
da3fd9f7a9,0
b73a9c3b5b,0
cc1b4c32b2,0
17733a04c6,0
a5a596cdd0,1
1c0c9599ea,-1
1ca4cef876,0
7f5f8e8906,0
abca48e3ec,0
63d187a7f5,0
716f38c144,-1
02fa9b3180,-1
f83499b834,0
78c4f39b9e,1
27af5287ee,0
1805d9339f,0
159d70a804,0
cee3508a15,-1
a1451f921c,0
2e0321e6f8,0
492188393e,1
6dbf195c34,1
e3683859c5,-1
302a428232,0
692ef0c980,1
98c06fe4f5,-1
002891c4d1,-1
77060b84b8,0
aaedfa6145,1
ce9d4aa128,0
5c319010e9,0
ff98a45a8f,0
ed57744cec,-1
cc61a384d8,0
6093f644d8,1
09f5a4202b,0
e91ba80c0c,0
f5fa737c6c,0
679644f5a3,-1
2fb8653b1a,-1
f9dbed2134,0
978f151d0b,1
294958fe4b,0
f6441ae011,0
8d0d8ecf40,0
7952668d6e,0
d7c388d365,1
bd143d953f,1
1296719080,1
c13c7b6550,0
6fe3332976,0
1b2ae3ba74,1
f12e7e32ed,1
d31c04110f,0
e65842707f,0
751ed745aa,-1
37848356ef,0
1a6c2fc3dc,1
619c8523cd,-1
b8feb36e7e,-1
780639b555,1
5ca5b70c1e,1
298de3a59e,-1
0b1c86299a,1
c91467994e,1
b6f2683196,-1
4da09ed137,-1
4a2a15e1d2,0
73fd730e45,0
bed890a926,0
197662a0b1,-1
553ca6eef9,-1
4cd6874512,0
772a06d4a6,1
36b3de415f,1
e864a63670,0
392988cc45,-1
8314a32915,-1
567d02858d,0
3be94645ce,0
506c25a8ea,0
f97aa1d908,0
81765f4a83,1
8235ad986e,0
4722fdda92,0
c7cc674e38,-1
ec752d252e,-1
b39fbe459b,0
1a93e2ea29,0
c9b44fb076,-1
250f3d52f1,0
db3f82c040,0
67d2038ffe,1
3afc249c59,1
8d6efeb9d6,0
08525d43a9,-1
30f67dd3bb,1
4aca62050e,-1
8667fa1b38,-1
548456ee5c,1
1e204c38e0,1
08119d4bf8,-1
411c290cd7,0
a8ef265686,1
91fac83f2a,1
b33c2276c2,0
3abeb68f84,0
e4be2c2e6c,0
80e1ce235e,1
1f5aa7e06c,1
9bfda2465c,-1
164ccb0be6,0
4d2ccc71fa,1
3f18be4244,-1
4c2307c237,0
5aa550463f,1
5eba1ba6db,-1
c208d6d90c,-1
ac06b906ca,0
820451eed0,-1
784e38a226,0
f1dfa8c291,0
61fed6b5e6,0
ad5c415ebe,1
c7265899d4,-1
44be6be659,0
17937ee5a2,1
2c6c810c8f,-1
